Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue LatLng
Central & Western,22.2833,114.15,ifc mall (國際金融中心商場),22.2846131,114.158156172,Shopping Mall,"22.284613,114.158156"
Central & Western,22.2833,114.15,Tai Kwun Centre for Heritage and Arts (大館古蹟及藝術館),22.281223929079577,114.15403246879578,Art Museum,"22.281224,114.154032"
Central & Western,22.2833,114.15,Apple ifc mall,22.284601807590427,114.15907233953476,Electronics Store,"22.284602,114.159072"
Central & Western,22.2833,114.15,city'super,22.2863191254814,114.15780586214832,Supermarket,"22.286319,114.157806"
Central & Western,22.2833,114.15,Pure Fitness,22.28513691319918,114.15945505016585,Gym / Fitness Center,"22.285137,114.159455"
Central & Western,22.2833,114.15,Fuel Espresso,22.28507494595841,114.15729744090731,Coffee Shop,"22.285075,114.157297"
Central & Western,22.2833,114.15,Palace IFC (百老匯院線),22.285742434142808,114.1581680176365,Movie Theater,"22.285742,114.158168"
Central & Western,22.2833,114.15,% Arabica,22.286274662398014,114.15778953141111,Coffee Shop,"22.286275,114.15779"
Yau Tsim Mong,22.3116,114.1707,Langham Place (朗豪坊),22.318512277019963,114.16851616838413,Shopping Mall,"22.318512,114.168516"
Yau Tsim Mong,22.3116,114.1707,Mrs. Fields Cookies,22.31910923360306,114.16945073541866,Cupcake Shop,"22.319109,114.169451"
Yau Tsim Mong,22.3116,114.1707,T.O.P This is Our Place,22.320397888231415,114.16954934917541,Shopping Mall,"22.320398,114.169549"
Yau Tsim Mong,22.3116,114.1707,Olympian City 3 (奧海城3期),22.317647,114.16456,Shopping Mall,"22.317647,114.16456"
Yau Tsim Mong,22.3116,114.1707,Sneakers Market (波鞋街),22.318672745828945,114.1713758658361,Sporting Goods Shop,"22.318673,114.171376"
Yau Tsim Mong,22.3116,114.1707,Australia Dairy Company (澳洲牛奶公司),22.304604,114.170555,Restaurant,"22.304604,114.170555"
Yau Tsim Mong,22.3116,114.1707,Pure Fitness,22.318782156105083,114.16841664682202,Gym / Fitness Center,"22.318782,114.168417"
Yau Tsim Mong,22.3116,114.1707,Kowloon Wholesale Fruit Market (九龍水果批發市場（果欄）),22.31211079853892,114.16897569159674,Farmers Market,"22.312111,114.168976"
Yuen Long,22.4446,114.0222,MTR Long Ping Station (港鐵朗屏站),22.44766559941518,114.02527600485698,Train Station,"22.447666,114.025276"
Yuen Long,22.4446,114.0222,Yuen Long Plaza (元朗廣場),22.44471309970712,114.02409854384916,Shopping Mall,"22.444713,114.024099"
Yuen Long,22.4446,114.0222,Kolour Yuen Long (元朗千色匯),22.442853449777544,114.02867509203044,Shopping Mall,"22.442853,114.028675"
Yuen Long,22.4446,114.0222,Citistore (千色),22.44291240091735,114.02860782284247,Department Store,"22.442912,114.028608"
Yuen Long,22.4446,114.0222,Hi Lee Path Bus Stop 喜利徑巴士站,22.44466,114.025805,Bus Stop,"22.44466,114.025805"
Yuen Long,22.4446,114.0222,Yuen Long Park (元朗公園),22.441956,114.018695,Park,"22.441956,114.018695"
Yuen Long,22.4446,114.0222,McDonald's (麥當勞),22.44446643450059,114.02865149458619,Restaurant,"22.444466,114.028651"
Yuen Long,22.4446,114.0222,Tung Yick Market (同益街市),22.4435977,114.030171,Market,"22.443598,114.030171"
Yuen Long,22.4446,114.0222,Tai Wing Wah Restaurant (大榮華酒樓),22.44603094502113,114.02943265062905,Restaurant,"22.446031,114.029433"
Yuen Long,22.4446,114.0222,Yuen Long Sports Centre (元朗體育館),22.441346114211246,114.0238755941391,Athletics & Sports,"22.441346,114.023876"
Wan Chai,22.2763,114.1826,Times Square (時代廣場),22.27871177051131,114.1824758196734,Shopping Mall,"22.278712,114.182476"
Wan Chai,22.2763,114.1826,Hysan Place (希慎廣場),22.279710257667833,114.18400379979626,Shopping Mall,"22.27971,114.184004"
Wan Chai,22.2763,114.1826,SOGO (崇光百貨),22.280452666656544,114.18456543621956,Department Store,"22.280453,114.184565"
Wan Chai,22.2763,114.1826,Victoria Park (維多利亞公園),22.282663446431926,114.18880290948437,Park,"22.282663,114.188803"
Wan Chai,22.2763,114.1826,SOGO Freshmart (崇光超市),22.28044633996593,114.18453290190388,Supermarket,"22.280446,114.184533"
Wan Chai,22.2763,114.1826,city'super,22.278613685281602,114.18237544990448,Supermarket,"22.278614,114.182375"
Wan Chai,22.2763,114.1826,Pure Fitness,22.27843669927438,114.18391879897439,Gym / Fitness Center,"22.278437,114.183919"
Wan Chai,22.2763,114.1826,Hong Kong Football Club (香港足球會),22.275374,114.1822239,Sports Club,"22.275374,114.182224"
Wan Chai,22.2763,114.1826,Apple Causeway Bay,22.2797509,114.183808,Electronics Store,"22.279751,114.183808"
Southern,22.2432,114.1974,The Pulse,22.2360451,114.1978577,Shopping Mall,"22.236045,114.197858"
Southern,22.2432,114.1974,Repulse Bay Beach (淺水灣泳灘),22.236858333333334,114.19613888888888,Beach,"22.236858,114.196139"
Southern,22.2432,114.1974,Pure South,22.235679765994284,114.1979788092478,Yoga Studio,"22.23568,114.197979"
Southern,22.2432,114.1974,The Repulse Bay (影灣園),22.238568470107037,114.1956952795701,Housing Development,"22.238568,114.195695"
Southern,22.2432,114.1974,The Coffee Academics,22.236157907218743,114.1976719448877,Café,"22.236158,114.197672"
Southern,22.2432,114.1974,Sip Song,22.235357,114.198125,Restaurant,"22.235357,114.198125"
Southern,22.2432,114.1974,Limewood,22.23651208188048,114.19739257275967,Restaurant,"22.236512,114.197393"
Southern,22.2432,114.1974,Amalfitana Artisan Pizza Bar,22.236413336099897,114.19746053936423,Restaurant,"22.236413,114.197461"
Southern,22.2432,114.1974,Classified,22.236249348941616,114.19761029607253,Café,"22.236249,114.19761"
Southern,22.2432,114.1974,Spices (香辣軒),22.238713654992655,114.19596518626308,Restaurant,"22.238714,114.195965"
Eastern,22.2734,114.2361,Skechers Outlet,22.27618596971596,114.24019847933789,Shoe Store,"22.276186,114.240198"
Eastern,22.2734,114.2361,Shau Kei Wan Market (筲箕灣街市),22.277946015173903,114.22945160829029,Farmers Market,"22.277946,114.229452"
Eastern,22.2734,114.2361,Starbucks (星巴克),22.26911112306705,114.2364581555227,Coffee Shop,"22.269111,114.236458"
Eastern,22.2734,114.2361,On Lee Noodle Shop (安利魚蛋粉麵),22.280287845209767,114.23044504766645,Restaurant,"22.280288,114.230445"
Eastern,22.2734,114.2361,McDonald’s (麥當勞),22.275755489521128,114.24087166786194,Restaurant,"22.275755,114.240872"
