ListingID,Neighbourhood,Walking time (mins),rank
69074,Central & Western,17.6,46.0
103760,Central & Western,11.2,14.0
132773,Central & Western,23.6,76.0
133390,Central & Western,10.8,12.0
163214,Central & Western,14.4,30.0
163664,Central & Western,19.2,54.0
163742,Central & Western,20.2,59.0
248140,Central & Western,15.8,37.0
251992,Central & Western,17.6,46.0
263081,Central & Western,22.4,70.0
277437,Central & Western,45.2,174.0
284141,Central & Western,17.8,47.0
290161,Central & Western,14.6,31.0
306515,Central & Western,13.0,23.0
405722,Central & Western,19.0,53.0
442781,Central & Western,38.0,146.0
446810,Central & Western,47.8,186.0
463214,Central & Western,26.2,89.0
481671,Central & Western,15.8,37.0
505456,Central & Western,21.0,63.0
534106,Central & Western,31.6,116.0
545658,Central & Western,47.8,186.0
548840,Central & Western,30.0,108.0
554138,Central & Western,22.2,69.0
622020,Central & Western,22.2,69.0
669310,Central & Western,14.8,32.0
744230,Central & Western,15.6,36.0
782604,Central & Western,45.0,173.0
792974,Central & Western,19.8,57.0
803701,Central & Western,17.4,45.0
811505,Central & Western,23.6,76.0
846482,Central & Western,30.2,109.0
865757,Central & Western,14.6,31.0
895382,Central & Western,16.2,39.0
944283,Central & Western,13.2,24.0
956857,Central & Western,13.2,24.0
957513,Central & Western,23.2,74.0
992390,Central & Western,14.0,28.0
999123,Central & Western,12.0,18.0
1019390,Central & Western,16.8,42.0
1108132,Central & Western,15.6,36.0
1127705,Central & Western,26.8,92.0
1127954,Central & Western,16.8,42.0
1149076,Central & Western,16.6,41.0
1226450,Central & Western,20.4,60.0
1317574,Central & Western,11.0,13.0
1317577,Central & Western,14.8,32.0
1345297,Central & Western,17.2,44.0
1534018,Central & Western,35.0,131.0
1564248,Central & Western,16.2,39.0
1622894,Central & Western,22.6,71.0
1623311,Central & Western,15.6,36.0
1708543,Central & Western,13.2,24.0
1756864,Central & Western,21.0,63.0
1756896,Central & Western,19.0,53.0
1800060,Central & Western,11.2,14.0
1812168,Central & Western,18.6,51.0
1852730,Central & Western,20.4,60.0
1896903,Central & Western,46.8,181.0
1910291,Central & Western,13.6,26.0
1922220,Central & Western,14.0,28.0
1925530,Central & Western,19.2,54.0
1932513,Central & Western,13.0,23.0
1934882,Central & Western,40.8,156.0
1937332,Central & Western,32.8,122.0
1980699,Central & Western,22.6,71.0
2002611,Central & Western,44.0,170.0
2019027,Central & Western,30.2,109.0
2034064,Central & Western,11.6,16.0
2039410,Central & Western,19.4,55.0
2047709,Central & Western,15.4,35.0
2098808,Central & Western,20.4,60.0
2099444,Central & Western,27.6,96.0
2140411,Central & Western,24.4,80.0
2147648,Central & Western,18.8,52.0
2184084,Central & Western,40.4,155.0
2189567,Central & Western,20.4,60.0
2190412,Central & Western,19.6,56.0
2213514,Central & Western,24.0,78.0
2228863,Central & Western,16.6,41.0
2234990,Central & Western,33.8,127.0
2269506,Central & Western,14.2,29.0
2316236,Central & Western,14.0,28.0
2357436,Central & Western,22.2,69.0
2393133,Central & Western,33.8,127.0
2401875,Central & Western,14.8,32.0
2442588,Central & Western,26.2,89.0
2522202,Central & Western,31.2,114.0
2529065,Central & Western,38.4,148.0
2553749,Central & Western,44.0,170.0
2601928,Central & Western,20.6,61.0
2654019,Central & Western,14.8,32.0
2657448,Central & Western,13.0,23.0
2674870,Central & Western,17.8,47.0
2682365,Central & Western,16.0,38.0
2714547,Central & Western,32.4,120.0
2740199,Central & Western,45.8,176.0
2774853,Central & Western,50.8,200.0
2856944,Central & Western,23.0,73.0
2920973,Central & Western,46.0,177.0
2927746,Central & Western,13.4,25.0
2942712,Central & Western,21.2,64.0
3002319,Central & Western,21.6,66.0
3061507,Central & Western,13.0,23.0
3069740,Central & Western,30.8,112.0
3069823,Central & Western,32.8,122.0
3069856,Central & Western,33.8,127.0
3069865,Central & Western,33.8,127.0
3071178,Central & Western,19.6,56.0
3140677,Central & Western,18.0,48.0
3200881,Central & Western,19.6,56.0
3202726,Central & Western,14.2,29.0
3202861,Central & Western,20.4,60.0
3251047,Central & Western,19.2,54.0
3285845,Central & Western,26.2,89.0
3312954,Central & Western,19.2,54.0
3312989,Central & Western,16.8,42.0
3358434,Central & Western,21.6,66.0
