StationName,LatLongT,latitude,longitude
Central Station,"22.2819,114.1585",22.2819,114.1585
Admiralty Station,"22.2788,114.1648",22.2788,114.1648
Tsim Sha Tsui Station,"22.298,114.1722",22.298,114.1722
Jordan Station,"22.3038,114.1718",22.3038,114.1718
Yau Ma Tei Station,"22.31255,114.171",22.31255,114.171
Mong Kok Station,"22.3189,114.1694",22.3189,114.1694
Shek Kip Mei Station,"22.33141,114.16883",22.33141,114.16883
Kowloon Tong Station,"22.3369,114.1779",22.3369,114.1779
Lok Fu Station,"22.33805,114.18761",22.33805,114.18761
Wong Tai Sin Station,"22.34133,114.19419",22.34133,114.19419
Diamond Hill Station,"22.3411,114.2008",22.3411,114.2008
Choi Hung Station,"22.33552,114.20878",22.33552,114.20878
Kowloon Bay Station,"22.3319,114.0291",22.3319,114.0291
Ngau Tau Kok Station,"22.31545,114.21913",22.31545,114.21913
Kwun Tong Station,"22.31214,114.22646",22.31214,114.22646
Prince Edward Station,"22.32372,114.16809",22.32372,114.16809
Sham Shui Po Station,"22.33024,114.16261",22.33024,114.16261
Cheung Sha Wan Station,"22.3349,114.1572",22.3349,114.1572
Lai Chi Kok Station,"22.3378,114.1491",22.3378,114.1491
Mei Foo Station,"22.3366,114.1404",22.3366,114.1404
Lai King Station,"22.34845,114.12608",22.34845,114.12608
Kwai Fong Station,"22.3578,114.12796",22.3578,114.12796
Kwai Hing Station,"22.36316,114.13118",22.36316,114.13118
Tai Wo Hau Station,"22.3706,114.1244",22.3706,114.1244
Tsuen Wan Station,"22.3735,114.1181",22.3735,114.1181
Sheung Wan Station,"22.2867,114.152",22.2867,114.152
Wan Chai Station,"22.2775,114.1732",22.2775,114.1732
Causeway Bay Station,"22.2802,114.184",22.2802,114.184
Tin Hau Station,"22.28275,114.19203",22.28275,114.19203
Fortress Hill Station,"22.28865,114.19429",22.28865,114.19429
North Point Station,"22.2912,114.2009",22.2912,114.2009
Quarry Bay Station,"22.28788,114.20976",22.28788,114.20976
Tai Koo Station,"22.28487,114.21531",22.28487,114.21531
Sai Wan Ho Station,"22.28206,114.22267",22.28206,114.22267
Shau Kei Wan Station,"22.2793,114.2284",22.2793,114.2284
Heng Fa Chuen Station,"22.27661,114.23972",22.27661,114.23972
Chai Wan Station,"22.26459,114.23712",22.26459,114.23712
Lam Tin Station,"22.30721,114.232",22.30721,114.232
Hong Kong Station,"22.4863,114.0117",22.4863,114.0117
Kowloon Station,"22.3043,114.1614",22.3043,114.1614
Olympic Station,"22.3172,114.1606",22.3172,114.1606
Tsing Yi Station,"22.3592,114.108",22.3592,114.108
Tung Chung Station,"22.2892,113.94129",22.2892,113.94129
Yau Tong Station,"22.2973,114.2381",22.2973,114.2381
Tiu Keng Leng Station,"22.30449,114.25198",22.30449,114.25198
Tseung Kwan O Station,"22.3078,114.2605",22.3078,114.2605
Hang Hau Station,"22.3156,114.2643",22.3156,114.2643
Po Lam Station,"22.3231,114.2573",22.3231,114.2573
Nam Cheong Station,"22.3277,114.1527",22.3277,114.1527
Sunny Bay Station,"22.3319,114.0291",22.3319,114.0291
Disneyland Resort Station,"22.3154,114.0451",22.3154,114.0451
LOHAS Park Station,"22.2963,114.2696",22.2963,114.2696
Hung Hom Station,"22.3032,114.1816",22.3032,114.1816
Mong Kok East Station,"22.32216,114.1726",22.32216,114.1726
Tai Wai Station,"22.3734,114.1784",22.3734,114.1784
Sha Tin Station,"22.38265,114.18756",22.38265,114.18756
Fo Tan Station,"22.3957,114.198",22.3957,114.198
Racecourse Station,"22.3995,114.2023",22.3995,114.2023
University Station,"22.4128,114.2105",22.4128,114.2105
Tai Po Market Station,"22.4441,114.1708",22.4441,114.1708
Tai Wo Station,"22.4507,114.1612",22.4507,114.1612
Fanling Station,"22.4919,114.1392",22.4919,114.1392
Sheung Shui Station,"22.50116,114.12803",22.50116,114.12803
Lo Wu Station,"22.5295,114.1138",22.5295,114.1138
Lok Ma Chau Station,"22.5145,114.0657",22.5145,114.0657
East Tsim Sha Tsui Station,"22.2958,114.1746",22.2958,114.1746
Che Kung Temple Station,"22.37514,114.18592",22.37514,114.18592
Sha Tin Wai Station,"22.3769,114.1948",22.3769,114.1948
City One Station,"22.383,114.2036",22.383,114.2036
Shek Mun Station,"22.3879,114.2085",22.3879,114.2085
Tai Shui Hang Station,"22.4082,114.2226",22.4082,114.2226
Heng On Station,"22.4179,114.2259",22.4179,114.2259
Ma On Shan Station,"22.4249,114.232",22.4249,114.232
Wu Kai Sha Station,"22.42914,114.24384",22.42914,114.24384
Austin Station,"22.3052,114.1663",22.3052,114.1663
Tsuen Wan West Station,"22.3671,114.1102",22.3671,114.1102
Kam Sheung Road Station,"22.42498,114.07487",22.42498,114.07487
Yuen Long Station,"22.44608,114.03533",22.44608,114.03533
Long Ping Station,"22.44765,114.02542",22.44765,114.02542
Tin Shui Wai Station,"22.4479,114.0045",22.4479,114.0045
Siu Hong Station,"22.4119,113.9789",22.4119,113.9789
Tuen Mun Station,"22.3937,113.9733",22.3937,113.9733
Sai Ying Pun Station,"22.28831,114.14249",22.28831,114.14249
HKU Station,"22.2844,114.1348",22.2844,114.1348
Kennedy Town Station,"22.2811,114.1286",22.2811,114.1286
Ho Man Tin Station,"22.3103,114.1834",22.3103,114.1834
Whampoa Station,"22.3048,114.1902",22.3048,114.1902
Ocean Park Station,"22.2483,114.1739",22.2483,114.1739
Wong Chuk Hang Station,"22.2481,114.1677",22.2481,114.1677
Lei Tung Station,"22.2436,114.1553",22.2436,114.1553
South Horizons Station,"22.24358,114.14886",22.24358,114.14886
