Neighbourhood,1st most popular venue,2nd most popular venue,3rd most popular venue,4th most popular venue,5th most popular venue,6th most popular venue,7th most popular venue,8th most popular venue,9th most popular venue,10th most popular venue
Central & Western,"22.284613,114.158156","22.281224,114.154032","22.284602,114.159072","22.286319,114.157806","22.285137,114.159455","22.285075,114.157297","22.285742,114.158168","22.286275,114.15779",,
Eastern,"22.277946,114.229452","22.276186,114.240198","22.269111,114.236458","22.280288,114.230445","22.276222,114.24034","22.279212,114.229606","22.278781,114.230014","22.281943,114.235442","22.275755,114.240872","22.27562,114.241166"
Islands,"22.258358,113.960033","22.260824,113.968699",,,,,,,,
Kowloon City,"22.316065,114.18163","22.331618,114.184375","22.329359,114.189015","22.328211,114.190391","22.316775,114.192365","22.330319,114.1888","22.319468,114.192571","22.330406,114.187617","22.326743,114.185159",
Kwai Tsing,"22.348491,114.125905","22.35805,114.127552","22.357649,114.126743","22.356319,114.12654","22.357521,114.126809","22.348508,114.125734","22.357438,114.126728","22.357564,114.127549","22.358752,114.131751","22.36,114.128709"
Kwun Tong,"22.312401,114.225222","22.314872,114.226274","22.30792,114.23317","22.312401,114.225336","22.312709,114.225232","22.312584,114.225568","22.31279,114.225225","22.312588,114.224999","22.319338,114.231681","22.312102,114.225154"
North,"22.501077,114.146528","22.501205,114.14638","22.50328,114.150412","22.501311,114.146671","22.501111,114.150833",,,,,
Sai Kung,"22.381987,114.274813","22.382469,114.274573","22.380751,114.273345","22.382075,114.273554","22.382167,114.274478","22.381452,114.270663","22.382549,114.271625","22.38021,114.268218","22.381057,114.27365","22.379613,114.271835"
Sha Tin,"22.387432,114.201955","22.387434,114.201954","22.388056,114.208056","22.383024,114.203723","22.387694,114.208349","22.386664,114.202776","22.390167,114.201556","22.390295,114.203114",,
Sham Shui Po,"22.336014,114.148591","22.327678,114.154794","22.333311,114.148364","22.336984,114.147911","22.33399,114.140493","22.337176,114.140519","22.337767,114.139604","22.337116,114.151747","22.336032,114.148514","22.332038,114.14865"
Southern,"22.236045,114.197858","22.236858,114.196139","22.23568,114.197979","22.238568,114.195695","22.236158,114.197672","22.236512,114.197393","22.236413,114.197461","22.236249,114.19761","22.238714,114.195965","22.235463,114.198069"
Tai Po,"22.444556,114.170489","22.446174,114.166658","22.442038,114.167075","22.446908,114.167994","22.443627,114.169856","22.442258,114.167497","22.444275,114.170226","22.443799,114.170565","22.446678,114.167163","22.443995,114.169528"
Tsuen Wan,"22.370083,114.113833","22.375802,114.111749","22.375346,114.113186","22.375168,114.109722","22.368575,114.114181","22.370117,114.111754","22.373755,114.116274","22.370612,114.111613","22.369148,114.121089",
Tuen Mun,"22.393435,113.976371","22.396035,113.973382","22.395388,113.973933","22.3875,113.975278","22.39235,113.975808","22.392541,113.978183","22.392646,113.976438","22.387718,113.975472","22.390774,113.976881","22.391517,113.976307"
Wan Chai,"22.278712,114.182476","22.27971,114.184004","22.280453,114.184565","22.282663,114.188803","22.280446,114.184533","22.278614,114.182375","22.278437,114.183919","22.279751,114.183808","22.275374,114.182224",
Wong Tai Sin,"22.349776,114.199131","22.348983,114.200492","22.349724,114.199176","22.355692,114.199877","22.355372,114.199463","22.349738,114.19919","22.34974,114.199173","22.349697,114.199189","22.34975,114.199163","22.349677,114.199183"
Yau Tsim Mong,"22.318512,114.168516","22.319109,114.169451","22.320398,114.169549","22.317647,114.16456","22.318673,114.171376","22.304604,114.170555","22.318782,114.168417","22.312111,114.168976",,
Yuen Long,"22.447666,114.025276","22.444713,114.024099","22.445134,114.027562","22.442853,114.028675","22.442912,114.028608","22.441956,114.018695","22.444466,114.028651","22.443598,114.030171","22.446031,114.029433","22.444661,114.024115"
